special_info,
start_time,1015.361712
omega,2.0
amplitude,0.0
phase/pi,0.0
freq,fft_angle,fft_position
0.03234443864905542,(-13.108132389988011-0.6097384553274394j),0j
0.06468887729811083,(-9.487701287431724+3.067570014749381j),0j
0.09703331594716624,(-6.887787593193559+4.652128156528479j),0j
0.12937775459622167,(-8.76456389636585+3.5485070087762565j),0j
0.1617221932452771,(-6.198925731605113+6.971265009882037j),0j
0.1940666318943325,(-6.568874412421968+7.97196178525337j),0j
0.2264110705433879,(-6.099969912866655+11.147528193866332j),0j
0.25875550919244333,(-0.486652403501199+8.343627066986002j),0j
0.29109994784149873,(0.11713646678899348+17.737663383940426j),0j
0.3234443864905542,(11.848265269500626+11.72811376761924j),0j
0.3557888251396096,(7.428710432874425+5.988754154521032j),0j
0.388133263788665,(12.137337680122906+5.358717289066099j),0j
0.4204777024377204,(12.59008998796078-2.190038811410323j),0j
0.4528221410867758,(13.634057970795972-4.887874144537983j),0j
0.48516657973583127,(4.875980769092944-6.247350719220974j),0j
0.5175110183848867,(9.811699274208225-7.514364574644505j),0j
0.5498554570339421,(6.442363658487642-14.537987124622562j),0j
0.5821998956829975,(3.0479391741651054-15.121400532250465j),0j
0.6145443343320529,(-6.842479464104312-16.733307267799837j),0j
0.6468887729811084,(-12.804414932348461-11.199232927923095j),0j
0.6792332116301637,(-8.237864862046594-0.46033348570536803j),0j
0.7115776502792192,(-6.327034717691252-10.504195525594387j),0j
0.7439220889282746,(-9.84903877684201-8.844027537265013j),0j
0.77626652757733,(-13.930008740431555-8.743412458228262j),0j
0.8086109662263854,(-14.310148593731844-5.121718704137976j),0j
0.8409554048754408,(-28.228446771420455-0.5433202818990752j),0j
0.8732998435244963,(-33.54557702465124+12.789124650801401j),0j
0.9056442821735516,(-12.067097720109658+23.559121161993353j),0j
0.9379887208226071,(-14.272558765697461+24.938766043284314j),0j
0.9703331594716625,(7.107705025719058+50.69579656379453j),0j
1.0026775981207179,(28.879602048483093+51.14306472439901j),0j
1.0350220367697733,(79.03437800438459+12.50549985293943j),0j
1.0673664754188288,(62.999083291580924-65.11994006194678j),0j
1.0997109140678842,(-72.68069559490995-70.61543514447908j),0j
1.1320553527169397,(-47.304007865727414+61.83221758905013j),0j
1.164399791365995,(-3.9019743801607274-78.96680116480135j),0j
1.1967442300150504,(14.882148560109503+18.437571546230963j),0j
1.2290886686641058,(-10.38745872919882-4.214845861687371j),0j
1.2614331073131613,(-3.470273607271425-12.932104557209627j),0j
1.2937775459622167,(-10.205730973664252+2.0261307340978045j),0j
1.3261219846112722,(-9.96127131004167+10.107575208642032j),0j
1.3584664232603274,(8.76062272094734-7.407197322797243j),0j
1.3908108619093829,(1.9774887447700304+7.572591140395218j),0j
1.4231553005584383,(6.17822658150983+0.4590085934358394j),0j
1.4554997392074938,(3.1244328824110617-4.217221075128353j),0j
1.4878441778565492,(-2.5140827812154534-6.6643766295083235j),0j
1.5201886165056047,(-3.69352361086843-3.5027893020735723j),0j
1.55253305515466,(3.0759912253181647+3.384652278720232j),0j
1.5848774938037153,(0.5892231735029824-5.7170598024967525j),0j
1.6172219324527708,(-1.3171818685402956+0.11204335614885247j),0j
1.6495663711018262,(-4.356279501517517-4.833300185678382j),0j
1.6819108097508817,(-5.886258304912729-0.7154990993650931j),0j
1.7142552483999371,(-5.279402240768406+4.366740190383725j),0j
1.7465996870489926,(3.051267788728085+2.1678333413935924j),0j
1.7789441256980478,(2.315370658501553+3.0694333419337134j),0j
1.8112885643471033,(4.066322779749791-1.2791258044481362j),0j
1.8436330029961587,(3.0288267826954023-4.3672358864964105j),0j
1.8759774416452142,(-0.865048875566524-6.31620257240462j),0j
1.9083218802942696,(-1.2071377345062566+1.4067237724366215j),0j
1.940666318943325,(0.35997547015501696-3.3593893054514j),0j
1.9730107575923803,(-3.6044065138445136-1.6129389526019209j),0j
2.0053551962414358,(-0.7678135606067071-3.5229577674407873j),0j
2.037699634890491,(-6.163038080392022-1.8689948537668941j),0j
2.0700440735395467,(-0.2922740488972123+1.947903424927724j),0j
2.102388512188602,(-1.7356051498130778+0.547925003606648j),0j
2.1347329508376576,(0.37323692320623775+0.9195597044205474j),0j
2.167077389486713,(0.12325236329200445-0.4178232013587033j),0j
2.1994218281357685,(0.7220692127438754-0.6837790632639643j),0j
2.231766266784824,(0.8070801583479104-2.0411264330266774j),0j
2.2641107054338794,(2.0173602838958846+1.1994122653522534j),0j
2.2964551440829344,(0.7017696499627358-4.5268412411225984j),0j
2.32879958273199,(-2.27353092474992+0.6178530466299127j),0j
2.3611440213810453,(-0.10238214859374395-3.4766350777647443j),0j
2.3934884600301007,(-0.3015906231269869-2.7251004947057655j),0j
2.425832898679156,(-2.011733958949789-2.276041160764418j),0j
2.4581773373282116,(-2.446054140487113-0.7504441374085304j),0j
2.490521775977267,(-1.7040494873949785-0.7132672156300554j),0j
2.5228662146263225,(-3.611630640706932+1.7950376640116208j),0j
2.555210653275378,(-0.5827536911677462+2.1062338716205655j),0j
2.5875550919244334,(2.246783051525391-2.406558370910746j),0j
2.619899530573489,(-0.20200655862657868-0.919213458810185j),0j
2.6522439692225444,(-0.08997107652902869-1.4162328283143553j),0j
2.6845884078716,(1.0892489902709752-2.3208172435395715j),0j
2.716932846520655,(-1.0432177720171532-2.1221347399470516j),0j
2.7492772851697103,(-0.8113128312813217-1.6359399364106997j),0j
2.7816217238187657,(-0.23930934755878586-1.8215112727744485j),0j
2.813966162467821,(-1.4664526546156293-0.8063127491429207j),0j
2.8463106011168766,(-0.7168275008468403+0.21136871364272825j),0j
2.878655039765932,(0.9081820665397045-2.117417074816273j),0j
2.9109994784149875,(-1.823262597598402-0.925311519289246j),0j
2.943343917064043,(-0.5624137405593148-0.4650112557498416j),0j
2.9756883557130984,(0.48249546242179897-1.0669055383925892j),0j
3.008032794362154,(-0.4527669639290117-2.1911578610132665j),0j
3.0403772330112093,(-1.4071615526136756-1.6614596089513727j),0j
3.0727216716602648,(-1.0493800829497058-1.564055323318792j),0j
3.10506611030932,(-1.9376498036773455+0.033653390509583936j),0j
3.1374105489583752,(0.7185719196647953-0.27378345811311017j),0j
3.1697549876074307,(-0.02581163745036469-1.5396731325830113j),0j
3.202099426256486,(-1.1543068518123663-3.3869100848186737j),0j
3.2344438649055416,(-0.6945609647273802-1.4057753546215905j),0j
3.266788303554597,(-2.0930617509823923-1.4064556564803894j),0j
3.2991327422036525,(-0.06121634115555208-0.6459337633949477j),0j
3.331477180852708,(0.6890922739483694+0.17962114025876008j),0j
3.3638216195017634,(-0.3046110910325256-1.2134075846360504j),0j
3.396166058150819,(0.5457697301264457-2.0028042571634757j),0j
3.4285104967998743,(-1.2800002473836214-1.774455009407723j),0j
3.4608549354489297,(-0.22081542269131382-1.1254580321430518j),0j
3.493199374097985,(0.4017818316904773-0.22849782864244217j),0j
3.52554381274704,(-0.3735740711355441-2.6629183801283003j),0j
3.5578882513960957,(-0.5131944399301501-1.532233191490081j),0j
3.590232690045151,(-0.5681469113602506-1.0920824307901542j),0j
3.6225771286942066,(-0.6331274888237204-1.5486820019289937j),0j
3.654921567343262,(0.7060484242543952+0.2954334198357902j),0j
3.6872660059923175,(0.7595813662125726-2.0760692519648254j),0j
3.719610444641373,(0.11791152271268901-1.6529951532389147j),0j
3.7519548832904284,(0.03935190358159943-2.3306072610031348j),0j
3.784299321939484,(-0.4609383758569008-2.384878335161215j),0j
3.8166437605885393,(-1.2051534267332662-1.813408275667582j),0j
3.8489881992375947,(-2.1253200448411436-0.7522723114580374j),0j
3.88133263788665,(0.10452427356940241+0.28332467159576996j),0j
3.9136770765357056,(1.5717911484798943-0.8034964826702051j),0j
3.9460215151847606,(0.22889938605535826-2.138854217318535j),0j
3.978365953833816,(-0.25382010928521803-1.1285243420808087j),0j
4.0107103924828715,(-0.3369076607533668-1.6778319364713672j),0j
4.043054831131927,(-0.9880270078562765-0.9204996227874083j),0j
4.075399269780982,(0.3666190219728758-0.9231100360686979j),0j
4.107743708430038,(1.5529363205903342-2.9440051299802477j),0j
4.140088147079093,(-1.8704174586207396-1.790380358257582j),0j
4.172432585728148,(0.6751284353330114-0.32549131213994875j),0j
4.204777024377204,(-0.16416056118253203-0.4273817776861697j),0j
4.237121463026259,(1.0983896668162538-1.853222837603293j),0j
4.269465901675315,(0.5397233268388706-2.3675161232814976j),0j
4.30181034032437,(-0.9890565879633925-1.4804564233280033j),0j
4.334154778973426,(-0.22270842646632577-0.7583275964117637j),0j
4.366499217622481,(0.5377309993847739+0.33851628920318555j),0j
4.398843656271537,(-0.40665577906356515-1.7322562167807043j),0j
4.431188094920592,(0.9273200981047258-0.8016547003339551j),0j
4.463532533569648,(1.2482034883225845-2.1496534506141867j),0j
4.495876972218703,(-0.4494503339257248-1.4699985265712525j),0j
4.528221410867759,(1.2496670189851702-1.6832023172110486j),0j
4.560565849516814,(-0.6345855571084811-2.363518656945387j),0j
4.592910288165869,(-0.5267225343560583-1.6077174420250884j),0j
4.625254726814925,(-0.9601821611423955-2.0781810728835457j),0j
4.65759916546398,(-0.29863215421119704-0.6862461181124822j),0j
4.689943604113036,(-0.5890225030935754-0.7202165245825918j),0j
4.722288042762091,(0.33934322633805575-0.8668683049860968j),0j
4.7546324814111465,(1.1102404888058468-0.4300103773491102j),0j
4.7869769200602015,(0.44260520203384346-1.0906374594869153j),0j
4.819321358709257,(1.078793071541021-1.359356031921475j),0j
4.851665797358312,(0.5681917176815261-0.7511712831006425j),0j
4.884010236007368,(0.29517919613347915-1.574681239356673j),0j
4.916354674656423,(0.2457660815024789-0.8121412550528164j),0j
4.948699113305479,(0.985527093062134-1.3858931846852707j),0j
4.981043551954534,(0.18302881355840972-1.879052255991045j),0j
5.013387990603589,(0.6544820977284181-1.2768414743858467j),0j
5.045732429252645,(0.1527978296649659-2.24913496941479j),0j
5.0780768679017,(-1.3561968403505524-0.8786121107530458j),0j
5.110421306550756,(0.9502432829605589-0.6048742129312458j),0j
5.142765745199811,(0.30468218987602536-1.378712598881312j),0j
